scenario,episode,max_particles_setting,total_rollout_timesteps,MAE_at_10,MAE_at_50,MAE_at_100,MAE_at_200,MAE_at_300,MAE_at_400,MAE_overall,MAE_final,MAE_growth_rate
ldc_rollout_1000p,0,1000,400,0.10789830982685089,0.15548574924468994,0.19438177347183228,0.21632301807403564,0.22465942800045013,0.2300613969564438,0.2300613969564438,0.24849779903888702,0.0005788847059011459
ldc_rollout_2000p,0,2000,400,0.22200500965118408,0.25768575072288513,0.27528059482574463,0.285714715719223,0.28963735699653625,0.29180774092674255,0.29180774092674255,0.29709455370903015,0.0006992647796869278
ldc_rollout_3000p,0,3000,400,0.08851458132266998,0.2300492823123932,0.289272665977478,0.2709410488605499,0.27666741609573364,0.277614951133728,0.277614951133728,0.2965262830257416,0.0006914333254098892
ldc_rollout_5000p,0,5000,400,0.07532158625471832,0.21873456128937452,0.27561283574867215,0.26358945781236742,0.26895672348192516,0.27012576821537692,0.27012576821537692,0.28745621937581635,0.0006428759346281945
