scenario,episode,max_particles_setting,total_rollout_timesteps,MAE_at_10,MAE_at_50,MAE_at_100,MAE_at_200,MAE_at_300,MAE_at_400,MAE_overall,MAE_final,MAE_growth_rate
ldc_rollout_1000p,0,1000,400,0.3640917241573334,0.38526812195777893,0.38765740394592285,0.3888058364391327,0.3887171447277069,0.3887519836425781,0.3887519836425781,0.3923015892505646,0.00028098583221435546
ldc_rollout_2000p,0,2000,400,0.4542157053947449,0.4871392846107483,0.49027618765830994,0.4892593324184418,0.4883856773376465,0.48773398995399475,0.48773398995399475,0.4817749559879303,0.0005718862265348435
ldc_rollout_3000p,0,3000,400,0.5535849332809448,0.763802170753479,0.7875414490699768,0.7912501692771912,0.7861440777778625,0.7814149260520935,0.7814149260520935,0.7647019028663635,0.0012685979902744293
ldc_rollout_5000p,0,5000,400,0.5680524110794067,0.9912964701652527,1.0618191957473755,1.0973783731460571,1.0898512601852417,0.9148568511009216,0.9148568511009216,0.38969385623931885,0.00033222019672393796
